Dicofre,services,lines
"110501",35.5343408550679,"CarrisMetropolitana 1625, CarrisMetropolitana 1629, MobiCascais 10, MobiCascais 31, MobiCascais 28, MobiCascais 2, MobiCascais 13, MobiCascais 20, MobiCascais 29, MobiCascais 6, MobiCascais 3, MobiCascais 7, MobiCascais 11, MobiCascais 18, MobiCascais 1, MobiCascais 14, MobiCascais 22"
"110506",34.0573627792191,"CarrisMetropolitana 1607, CarrisMetropolitana 1608, CarrisMetropolitana 1613, CarrisMetropolitana 1622, CarrisMetropolitana 1638, CarrisMetropolitana 1611, MobiCascais 31, MobiCascais 23, MobiCascais 35, MobiCascais 36, MobiCascais 30, MobiCascais 26, MobiCascais 22"
"110507",51.9784429595267,"CarrisMetropolitana 1604, CarrisMetropolitana 1607, CarrisMetropolitana 1608, CarrisMetropolitana 1613, CarrisMetropolitana 1622, CarrisMetropolitana 1638, CarrisMetropolitana CP, MobiCascais 31, MobiCascais 23, MobiCascais 16, MobiCascais 35, MobiCascais 36, MobiCascais 30, MobiCascais 26, MobiCascais 1, MobiCascais 22"
"110508",52.6036477857609,"CarrisMetropolitana 1625, CarrisMetropolitana 1629, CarrisMetropolitana CP, MobiCascais 10, MobiCascais 31, MobiCascais 28, MobiCascais 2, MobiCascais 23, MobiCascais 13, MobiCascais 20, MobiCascais 29, MobiCascais 6, MobiCascais 3, MobiCascais 7, MobiCascais 11, MobiCascais 18, MobiCascais 1, MobiCascais 14, MobiCascais 22"
"110601",23.9477215623212,"Carris 714, Carris 727, Carris 729, Carris 742, Carris 748, Carris 760, CarrisMetropolitana 1714, CarrisMetropolitana 1715, CarrisMetropolitana 1730, CarrisMetropolitana 1704"
"110602",70.4644037768194,"Carris 714, Carris 727, Carris 751, Carris 742, Carris 720, Carris 753, Carris 748, Carris 760, Carris 724, Carris 15E, CarrisMetropolitana 1730, CarrisMetropolitana 3701, CarrisMetropolitana 3702, CarrisMetropolitana 3703, CarrisMetropolitana 3705, CarrisMetropolitana 3706, CarrisMetropolitana 3708, CarrisMetropolitana 3710, CarrisMetropolitana 3716, CarrisMetropolitana 3717, CarrisMetropolitana 3721, CarrisMetropolitana 1704, CarrisMetropolitana 4725, CarrisMetropolitana 4730, CP Linha de Cascais, Fertagus"
"110607",39.0752769221581,"Carris 742, Carris 794, Carris 720, Carris 759, Carris 728, Carris 208, Carris 210, CP Linha da Azambuja, MetroLisboa Vm"
"110608",71.2680111811767,"Carris 714, Carris 750, Carris 746, Carris 767, Carris 758, Carris 703, Carris 748, Carris 724, Carris 202, CarrisMetropolitana 1714, CarrisMetropolitana 1720, CarrisMetropolitana 1715, CarrisMetropolitana 1001, CarrisMetropolitana 2811, CarrisMetropolitana 2817, CarrisMetropolitana 1728, CarrisMetropolitana 1730, CarrisMetropolitana 1507, CarrisMetropolitana 1717, CarrisMetropolitana 1721, CarrisMetropolitana 1704, CarrisMetropolitana 1707, CarrisMetropolitana 1708, CarrisMetropolitana 1709, CP Linha de Sintra"
"110610",78.1632215698069,"Carris 746, Carris 751, Carris 742, Carris 726, Carris 755, Carris 702, Carris 758, Carris 753, Carris 748, Carris 731, Carris 783, Carris 202, CarrisMetropolitana 1728, CarrisMetropolitana 1730, CarrisMetropolitana 3702, CarrisMetropolitana 3703, CarrisMetropolitana 3705, CarrisMetropolitana 3706, CarrisMetropolitana 3710, CarrisMetropolitana 3716, CarrisMetropolitana 3717, CarrisMetropolitana 3721, CarrisMetropolitana 1704, CarrisMetropolitana 4725, CarrisMetropolitana 4730, CP Linha de Sintra, CP Linha da Azambuja, Fertagus, MetroLisboa Az"
"110611",71.7306828341411,"Carris 750, Carris 767, Carris 726, Carris 703, Carris 747, Carris 724, Carris 202, CarrisMetropolitana 2780, CarrisMetropolitana 2811, CarrisMetropolitana 2817, CarrisMetropolitana 2821, CarrisMetropolitana 2833, CarrisMetropolitana 1708, CarrisMetropolitana 1709, CarrisMetropolitana 1710, MetroLisboa Az"
